pnode_name,utility_name,city_state
DUQ,Duquesne Light Co,"Aliquippa,PA"
DUQ,Duquesne Light Co,"Allison Park,PA"
DUQ,Duquesne Light Co,"Ambridge,PA"
DUQ,Duquesne Light Co,"Baden,PA"
DUQ,Duquesne Light Co,"Bairdford,PA"
DUQ,Duquesne Light Co,"Bakerstown,PA"
DUQ,Duquesne Light Co,"Beaver,PA"
DUQ,Duquesne Light Co,"Braddock,PA"
DUQ,Duquesne Light Co,"Carnegie,PA"
DUQ,Duquesne Light Co,"Cheswick,PA"
DUQ,Duquesne Light Co,"Clinton,PA"
DUQ,Duquesne Light Co,"Conway,PA"
DUQ,Duquesne Light Co,"Coraopolis,PA"
DUQ,Duquesne Light Co,"Crescent,PA"
DUQ,Duquesne Light Co,"Curtisville,PA"
DUQ,Duquesne Light Co,"Dravosburg,PA"
DUQ,Duquesne Light Co,"Duquesne,PA"
DUQ,Duquesne Light Co,"East Mc Keesport,PA"
DUQ,Duquesne Light Co,"East Pittsburgh,PA"
DUQ,Duquesne Light Co,"Freedom,PA"
DUQ,Duquesne Light Co,"Georgetown,PA"
DUQ,Duquesne Light Co,"Gibsonia,PA"
DUQ,Duquesne Light Co,"Glassport,PA"
DUQ,Duquesne Light Co,"Glenshaw,PA"
DUQ,Duquesne Light Co,"Homestead,PA"
DUQ,Duquesne Light Co,"Hookstown,PA"
DUQ,Duquesne Light Co,"Imperial,PA"
DUQ,Duquesne Light Co,"Indianola,PA"
DUQ,Duquesne Light Co,"Industry,PA"
DUQ,Duquesne Light Co,"Leetsdale,PA"
DUQ,Duquesne Light Co,"Mc Kees Rocks,PA"
DUQ,Duquesne Light Co,"Mckeesport,PA"
DUQ,Duquesne Light Co,"Midland,PA"
DUQ,Duquesne Light Co,"Monaca,PA"
DUQ,Duquesne Light Co,"Monroeville,PA"
DUQ,Duquesne Light Co,"New Brighton,PA"
DUQ,Duquesne Light Co,"North Versailles,PA"
DUQ,Duquesne Light Co,"Oakmont,PA"
DUQ,Duquesne Light Co,"Pittsburgh,PA"
DUQ,Duquesne Light Co,"Presto,PA"
DUQ,Duquesne Light Co,"Rochester,PA"
DUQ,Duquesne Light Co,"Russellton,PA"
DUQ,Duquesne Light Co,"Sewickley,PA"
DUQ,Duquesne Light Co,"Shippingport,PA"
DUQ,Duquesne Light Co,"South Heights,PA"
DUQ,Duquesne Light Co,"Springdale,PA"
DUQ,Duquesne Light Co,"Turtle Creek,PA"
DUQ,Duquesne Light Co,"Verona,PA"
DUQ,Duquesne Light Co,"West Mifflin,PA"
DUQ,Duquesne Light Co,"Wildwood,PA"
DUQ,Duquesne Light Co,"Wilmerding,PA"
