pnode,Time,intercept,Avg_Temp_wt,Avg_Hum_wt,Avg_prec_wt,forecast_rt_lmp
DUQ,0:00,39.70,-0.086,-0.08,1.66,
DUQ,1:00,33.00,-0.086,-0.08,1.66,
DUQ,2:00,32.40,-0.086,-0.08,1.66,
DUQ,3:00,32.90,-0.086,-0.08,1.66,
DUQ,4:00,34.50,-0.086,-0.08,1.66,
DUQ,5:00,38.00,-0.086,-0.08,1.66,
DUQ,6:00,47.60,-0.086,-0.08,1.66,
DUQ,7:00,48.30,-0.086,-0.08,1.66,
DUQ,8:00,45.30,-0.086,-0.08,1.66,
DUQ,9:00,47.10,-0.086,-0.08,1.66,
DUQ,10:00,44.10,-0.086,-0.08,1.66,
DUQ,11:00,44.60,-0.086,-0.08,1.66,
DUQ,12:00,47.00,-0.086,-0.08,1.66,
DUQ,13:00,46.50,-0.086,-0.08,1.66,
DUQ,14:00,41.20,-0.086,-0.08,1.66,
DUQ,15:00,40.90,-0.086,-0.08,1.66,
DUQ,16:00,50.90,-0.086,-0.08,1.66,
DUQ,17:00,71.50,-0.086,-0.08,1.66,
DUQ,18:00,49.20,-0.086,-0.08,1.66,
DUQ,19:00,51.20,-0.086,-0.08,1.66,
DUQ,20:00,51.50,-0.086,-0.08,1.66,
DUQ,21:00,40.50,-0.086,-0.08,1.66,
DUQ,22:00,37.20,-0.086,-0.08,1.66,
DUQ,23:00,36.50,-0.086,-0.08,1.66,
